Z,N,A,BindingEnergy_MeV_per_nucleon,HalfLife_seconds,MassExcess_keV,OctonionicAnomalyIndex,IsMagic
103,51,154,0.231,1.736923989453403e-14,-43622.0,0.4251,0
22,52,74,6.765,6.257402429772976e+18,-59389.5,0.3894,0
64,20,84,0.0,1.9171328496266535e-20,-19225.7,0.3583,1
42,14,56,0.0,0.0174903849744892,-62589.5,0.4299,0
55,63,118,8.571,16304276.939196596,-52094.9,0.1193,0
89,59,148,4.154,340.0389870845024,-52804.4,0.2358,0
2,83,85,0.0,25111.133175224935,-72022.0,0.5005,1
81,35,116,0.232,1.9473477428706818e-13,-58934.8,0.44,0
54,105,159,7.474,49135002648764.15,-48666.9,0.1739,0
100,13,113,0.0,1232763690.3706164,-35082.8,0.4573,0
62,39,101,4.962,38.69771266129288,-36816.2,0.2431,0
60,123,183,7.374,1.0963955922235856e-09,-66868.4,0.1637,0
89,70,159,4.956,5.489426679457621e-09,-77335.6,0.2222,0
5,40,45,0.0,3.966313350284688e+16,-53364.1,0.6661,0
33,47,80,9.0,4334053.467141834,-72478.0,0.0736,0
35,100,135,5.775,7.387267330601489e+18,-40644.1,0.4444,0
14,102,116,0.0,1.1715695983135027e-12,-69311.2,0.4746,0
96,3,99,0.0,2.007515730653388e+16,-60688.3,0.5793,0
43,28,71,5.592,1.541367131353934e+17,-60035.1,0.2931,1
6,27,33,0.741,1402436079313.6821,-22562.8,0.5243,0
92,88,180,6.396,1.3104078971060336e-11,-56553.2,0.1782,0
105,2,107,0.0,1.8970781467677018e-20,-103103.5,0.5061,1
37,50,87,8.33,5.3906568481056184e-14,-66347.1,0.0748,1
52,112,164,6.769,3.941757334174817e-18,-66920.3,0.1682,0
39,129,168,4.426,8.121184965560854e+19,-40851.7,0.4396,0
96,96,192,6.666,236621.2738507347,-43239.5,0.2409,0
90,31,121,0.0,1.7144824871658863e-17,-25364.4,0.3302,0
38,23,61,5.229,0.0648672337375041,-50908.1,0.2186,0
112,15,127,0.0,2.888952598034985e-13,-31536.7,0.4841,0
59,89,148,8.061,3.0459469277878592,-37018.3,0.0751,0
52,127,179,6.936,10656256.892390314,-48687.0,0.2324,0
31,41,72,8.866,2.0780936180119483e-10,-29122.8,0.121,0
116,59,175,0.266,2020476146469394.0,-39968.1,0.4265,0
19,47,66,5.876,73526804116812.38,-55709.8,0.404,0
33,151,184,2.494,1688.3592341366707,-27946.3,0.4395,0
25,92,117,3.612,2.2742541166203818e-09,-52859.8,0.2448,0
35,160,195,2.332,1.4220287237434098e-13,-57666.5,0.4577,0
67,127,194,7.345,539.9382982554773,-54907.8,0.1624,0
22,157,179,0.0,4806868119827100.0,-43177.0,0.6543,0
30,96,126,4.937,1191.6682955563956,-78128.1,0.3188,0
61,47,108,6.08,4.152822550020921e+17,-40350.6,0.2797,0
53,94,147,8.158,3.5058964413236035e+18,-59049.2,0.3303,0
85,31,116,0.0,6.021571776212986e-14,-32872.0,0.4252,0
58,66,124,8.186,634.522174046545,-45380.9,0.068,0
86,22,108,0.0,1244293628002127.5,-72859.4,0.5846,0
43,38,81,8.019,5.542092506432721e-09,-39699.3,0.116,0
25,151,176,0.199,1.1498780597272606,-32561.7,0.4914,0
110,15,125,0.0,1.0733497057677415e-18,-81211.1,0.578,0
63,85,148,7.934,1.8777403226322104e+19,-59100.7,0.2703,0
49,69,118,8.483,1.3508918666705123e-08,-89830.8,0.1336,0
8,52,60,0.0,5.959383851620311e-13,-53024.7,0.5032,1
40,51,91,8.366,2.0408772742708963e-15,-52143.9,0.076,0
19,91,110,1.295,2.36236485645101e-13,-33199.9,0.4108,0
12,128,140,0.0,8.546195095789652e-14,-59498.9,0.4659,0
118,47,165,0.0,1925099.317344794,-5103.9,0.509,0
67,75,142,7.753,438.0144315871685,-63600.1,0.1013,0
47,93,140,7.735,0.09267298747669528,-34507.3,0.176,0
39,99,138,6.07,8.473733405130053e-14,-89899.2,0.1805,0
10,68,78,0.0,4.094318385857831e-20,-39507.8,0.4732,0
69,3,72,0.0,43057.278448153236,-43118.6,0.6061,0
84,23,107,0.0,1.3804291748178212e-15,-13820.9,0.4451,0
12,66,78,0.246,6562567007849.974,-72899.0,0.5779,0
29,140,169,1.67,3.618472633524965e-19,-75347.6,0.3327,0
90,7,97,0.0,2.6053425875990377e-05,-72499.0,0.5708,0
115,6,121,0.0,143785.09582678165,-63858.2,0.577,0
21,163,184,0.0,1.2519349139151667e-13,-35054.1,0.512,0
49,98,147,7.002,113898611475.80396,-74411.4,0.3047,0
37,11,48,0.0,0.0014446448543049054,-33491.7,0.4532,0
105,29,134,0.0,11436645098517.457,-31381.3,0.5522,0
49,99,148,7.41,2.7133515081627857e-20,-43516.7,0.1802,0
52,82,134,7.997,4.6576397049657143e-17,-50285.6,0.1456,1
85,99,184,8.162,7.043389657181258e+17,-56851.8,0.2378,0
53,41,94,7.249,5.572855200966875e+18,-41908.3,0.3123,0
17,6,23,0.944,0.001105755229250251,-60108.8,0.3047,0
27,121,148,2.33,2.1336486092232918e-11,-73522.5,0.4418,0
86,16,102,0.0,7.761454133485592e+17,-64368.9,0.5794,0
61,107,168,7.267,1.7954586341087698e+16,-18599.4,0.2916,0
13,125,138,0.0,1.787026642052517e-18,-24577.2,0.532,0
77,91,168,7.723,2.6821524026494734e-09,-41965.8,0.0862,0
6,57,63,0.0,3.063225633506517e-20,-48606.9,0.542,0
75,123,198,7.846,5.916998031097285e+18,-65460.2,0.403,0
14,142,156,0.0,0.015192966866476587,-25991.8,0.587,0
16,11,27,6.3,2.6693319942057794e-07,-54697.0,0.1887,0
8,185,193,0.0,1.4989592559172626e-11,-65964.7,0.4082,1
